Title,Year,Agency,Keywords
Do Short-Term Incentives Affect Long-Term Productivity?,2021,European Corporate Governance Institute,economic;discussion;data;center;census;business;firms;paper;working;productivity
Do Short-Term Incentives Affect Long-Term Productivity?,2020,Center for Economic Studies,economic;discussion;data;center;census;business;firms;paper;working;productivity
The Shifting of the Property Tax on Urban Renters: Evidence from New York State’s Homestead Tax Option,2020,Center for Economic Studies,data;business;firms;economic;studies;center;working;evidence;census;papers
The Effects of the National War Labor Board on Labor Income Inequality,2022,Unknown,discussion;data;center;census;business;firms;working;mimeo;evidence;labor
Cleaning the Census of Retail Trade Product Lines Data,2022,Center for Economic Studies,economic;discussion;center;business;impact;working;firm;trade;census;data
Structural Change Within Versus Across Firms: Evidence from the United States,2020,Unknown,data;center;census;business;impact;working;firm;mimeo;evidence;firms
The Changing Firm and Country Boundaries of US Manufacturers in Global Value Chains,2023,Center for Economic Studies,business;rdc;economic;studies;center;working;census;papers;2023;firm
The Changing Firm and Country Boundaries of US Manufacturers in Global Value Chains,2023,Journal of Economic Perspectives,data;center;census;business;rdc;studies;economic;journal;2023;firm
Industry Linkages from Joint Production,2020,Harvard University,discussion;data;center;census;business;firms;working;firm;mimeo;university
The Evolution of U.S. Retail Concentration,2024,American Economic Journal: Macroeconomics,economics;discussion;data;center;census;business;impact;economic;firm;journal
The Evolution of U.S. Retail Concentration,2021,Bureau of Labor Statistics,data;center;census;business;firms;economic;working;firm;labor;papers
The Geography of Business Dynamism and Skill Biased Technical Change,2022,Federal Reserve Bank of St. Louis,economic;discussion;data;center;census;impact;working;firm;business;papers
Structural Change Within Versus Across Firms: Evidence from the United States,2022,NBER,data;center;census;business;impact;paper;working;firm;evidence;firms
Industry Linkages from Joint Production,2023,Center for Economic Studies,business;rdc;economic;studies;center;working;firm;census;papers;2023
The Evolution of U.S. Retail Concentration,2022,arXiv.org,economic;discussion;data;center;census;business;impact;working;firm;papers
Structural Change Within Versus Across Firms: Evidence from the United States,2022,Center for Economic Studies,business;economic;studies;center;working;firm;evidence;firms;census;papers
The Evolution of U.S. Retail Concentration,2022,Center for Economic Studies,data;business;firms;economic;studies;center;working;firm;census;papers
Industry Linkages from Joint Production,2023,Center for Economic Studies,evidence;productivity;studies;center;working;firm;census;papers;2023;economic
Are Mutual Fund Managers Paid for Performance? Evidence from U.S. Administrative Earnings Data,2023,Unknown,economic;discussion;center;census;business;impact;mimeo;evidence;data;2023
Social Dynamics of Geographic Mobility,2022,Texas A&M University,economics;economic;discussion;data;center;census;business;impact;working;university
Compositional Nature of Firm Growth and Aggregate Fluctuations,2020,Center for Economic Studies,data;firms;economic;studies;center;working;firm;business;census;papers
Essays on Dynamic Macroeconomics,2020,University of Minnesota,economics;economic;discussion;data;center;census;impact;working;university;business
Macroeconomic and Asset Pricing Effects of Supply Chain Disasters,2022,Unknown,economics;economic;discussion;data;center;census;impact;working;mimeo;business
The Impact of Aggregate Fluctuations on Superstar Business Formation,2021,Unknown,economics;economic;discussion;data;center;census;working;mimeo;impact;business
Import Competition and Firms' Internal Networks,2021,Center for Economic Studies,discussion;data;economic;studies;center;working;business;firms;census;papers
"Returns to Scale, Firm Entry, and the Business Cycle",2022,Yale University,data;center;census;firms;working;firm;mimeo;university;business;papers
Shock Propagation within Multisector Firms,2022,Unknown,discussion;data;center;census;working;mimeo;business;firms;university;papers
Socioeconomics of Modern-Day Migration Within the United States: Determinants and Economic Implications Across Race and Ethnicity,2022,Colorado State University,economics;discussion;data;center;census;business;impact;working;economic;university
"Characteristics of Respondents Missing “MIGPR” Information in ACS, 2005-2019",2023,Center for Economic Studies,economics;discussion;data;business;impact;economic;studies;center;census;2023
Using Restricted-Access ACS Data to Examine Economic and Noneconomic Factors of Interstate Migration By Race and Ethnicity,2023,Center for Economic Studies,evidence;productivity;studies;center;working;census;papers;data;2023;economic
Essays in Business Lending,2020,"Stern School of Business, New York University",discussion;data;center;census;firms;working;labor;university;market;business
How Collateral Affects Small Business Lending: The Role of Lender Specialization,2021,Center for Economic Studies,firm;economic;studies;center;working;labor;business;census;papers;market
ESSAYS IN URBAN ECONOMICS,2020,Georgia State University,economic;discussion;data;center;census;business;impact;working;university;economics
Social Capital Measures at Census Tract Level,2023,Center for Economic Studies,economics;discussion;data;business;impact;economic;studies;center;2023;census
Firm Finances and Responses to Trade Liberalization,2019,University of Texas,discussion;data;center;census;business;firms;working;firm;university;trade
Firm Finances and Responses to Trade Liberalization: Evidence from U.S. Tariffs on China,2021,Center for Economic Studies,firms;economic;studies;center;working;firm;evidence;census;papers;trade
Still Separate and Unequal: Persistent Racial Segregation and Inequality in Subsidized Housing,2023,Socius,evidence;economics;economic;discussion;data;center;census;business;impact;2023
Racism and Unsafe Rental Housing Conditions Across the United States,2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Displaced and Unsafe: The legacy of settler colonial racial capitalism in the U.S. rental market,2023,"Journal of Race, Ethnicity and the City",discussion;data;center;census;business;rdc;studies;journal;market;2023
Neighborhood Income and Material Hardship in the United States,2022,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
Growth Trajectories of Innovative Rural Firms,2023,Unknown,economic;discussion;center;business;impact;working;mimeo;firms;census;data
An Examination of the Informational Value of Self-Reported Innovation Questions,2022,Center for Economic Studies,discussion;business;firms;economic;studies;center;working;papers;data;census
Are Some Innovation Self-Reports in the Annual Business Survey Biased? A Regression Discontinuity Test,2022,Unknown,economics;economic;discussion;center;impact;working;mimeo;business;census;data
User Entrepreneurship and Firm Employment Growth,2023,Unknown,economic;discussion;center;business;impact;working;firm;mimeo;census;data
County-Level Prevalence Estimates of ADHD in Children in the United States,2023,Annals of Epidemiology,evidence;economics;economic;discussion;data;center;census;business;impact;2023
Examining the Association between Rurality and Positive Childhood Experiences among a National Sample,2023,The Journal of Rural Health,economic;discussion;data;center;census;business;firms;trade;journal;2023
County-Level Prevalence Estimates of Autism Spectrum Disorder in Children in the United States,2023,Journal of Autism and Developmental Disorders,evidence;economics;economic;discussion;data;center;census;business;impact;2023
"Using Small-Area Estimation (SAE) to Estimate Prevalence of Child Health Outcomes at the Census Regional-, State-, and County-Levels",2022,Center for Economic Studies,discussion;data;business;firms;economic;paper;studies;center;working;census
"Estimate of childhood overweight and obesity at the region, state and county levels: a multilevel small area estimation approach",2021,American Journal of Epidemiology,evidence;economics;economic;discussion;data;center;census;business;impact;working
County-Level Prevalence Estimates of ADHD in Children in the United States,2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
